order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
1,4029,36,Bangalore,Evening,Weekday,Desserts,Lunch,Premium,113,Yes,29,3,5,Yes,Lazy,High,Partner,Yes
2,3180,26,Mumbai,Evening,Weekend,South Indian,Snacks,Premium,752,No,45,14,3,Yes,Stressed,Medium,Friends,Yes
3,3803,42,Hyderabad,Morning,Weekend,South Indian,Dinner,Premium,266,Yes,56,3,5,Yes,Happy,Low,Family,Yes
4,1086,28,Pune,Night,Weekend,Chinese,Snacks,Mid-range,342,No,78,12,5,Yes,Happy,Low,Friends,No
5,2896,42,Hyderabad,Night,Weekday,North Indian,Breakfast,Premium,675,No,79,4,5,No,Happy,High,Friends,No
6,3284,31,Pune,Evening,Weekend,Chinese,Lunch,Mid-range,677,No,92,2,4,Yes,Lazy,High,Friends,No
7,4119,33,Chandigarh,Evening,Weekday,North Indian,Breakfast,Premium,451,Yes,52,8,4,No,Stressed,Low,Partner,No
8,1289,33,Delhi,Evening,Weekend,South Indian,Snacks,Premium,242,No,92,7,5,No,Celebrating,Low,Alone,Yes
9,2627,28,Bangalore,Evening,Weekend,South Indian,Breakfast,Premium,797,Yes,74,3,5,Yes,Lazy,Low,Friends,Yes
10,4033,31,Delhi,Morning,Weekend,Fast Food,Dinner,Premium,412,No,62,3,5,Yes,Lazy,High,Friends,Yes
11,2882,27,Chandigarh,Night,Weekday,Chinese,Snacks,Premium,569,No,41,6,5,Yes,Happy,Medium,Family,Yes
12,1863,39,Bangalore,Morning,Weekday,South Indian,Snacks,Mid-range,476,No,29,13,4,No,Happy,Low,Family,Yes
13,4810,32,Hyderabad,Night,Weekend,Fast Food,Dinner,Budget,127,No,43,2,5,No,Happy,High,Alone,Yes
14,2480,30,Chandigarh,Morning,Weekend,Desserts,Dinner,Mid-range,365,Yes,81,11,5,No,Celebrating,High,Family,No
15,2044,29,Delhi,Morning,Weekend,Desserts,Breakfast,Mid-range,334,No,77,2,5,Yes,Happy,Low,Family,No
16,4029,20,Mumbai,Afternoon,Weekend,Chinese,Breakfast,Budget,872,No,72,7,5,Yes,Celebrating,Medium,Friends,No
17,3322,41,Delhi,Night,Weekend,Fast Food,Lunch,Mid-range,130,Yes,86,7,5,No,Happy,Low,Family,Yes
18,4002,31,Delhi,Evening,Weekend,Biryani,Dinner,Budget,504,No,75,7,5,Yes,Happy,Medium,Alone,Yes
19,1533,41,Pune,Afternoon,Weekend,North Indian,Snacks,Premium,781,Yes,41,8,4,No,Stressed,Medium,Alone,Yes
20,3379,43,Delhi,Afternoon,Weekend,Chinese,Lunch,Budget,800,No,88,2,5,No,Celebrating,Low,Alone,No
21,3003,19,Hyderabad,Afternoon,Weekday,Fast Food,Snacks,Mid-range,692,Yes,41,14,5,No,Happy,High,Partner,No
22,2337,39,Bangalore,Morning,Weekday,South Indian,Snacks,Premium,676,No,63,5,5,No,Happy,Medium,Family,Yes
23,1030,35,Bangalore,Evening,Weekend,Biryani,Snacks,Premium,707,Yes,99,12,5,No,Celebrating,High,Family,Yes
24,4932,22,Mumbai,Night,Weekend,South Indian,Lunch,Premium,552,Yes,80,6,5,No,Happy,Low,Friends,No
25,4219,42,Pune,Night,Weekday,Fast Food,Snacks,Premium,572,Yes,24,9,5,Yes,Happy,High,Alone,Yes
26,2921,30,Mumbai,Night,Weekday,Chinese,Breakfast,Mid-range,912,Yes,64,3,3,No,Stressed,High,Alone,Yes
27,1173,19,Chandigarh,Evening,Weekday,Fast Food,Snacks,Premium,940,No,58,5,4,No,Stressed,Low,Partner,No
28,2124,27,Delhi,Night,Weekend,South Indian,Snacks,Budget,836,No,21,2,3,No,Stressed,Medium,Family,No
29,4185,39,Delhi,Morning,Weekend,Biryani,Lunch,Premium,385,No,77,10,4,Yes,Lazy,Medium,Partner,Yes
30,2727,19,Delhi,Evening,Weekday,South Indian,Snacks,Mid-range,485,No,89,5,5,Yes,Happy,High,Family,Yes
31,3952,36,Delhi,Morning,Weekend,Desserts,Dinner,Budget,253,Yes,60,5,5,Yes,Celebrating,High,Alone,Yes
32,2884,24,Hyderabad,Evening,Weekend,South Indian,Lunch,Mid-range,913,No,58,10,5,Yes,Celebrating,Low,Alone,Yes
33,4227,36,Delhi,Night,Weekend,Chinese,Breakfast,Premium,960,No,43,1,5,No,Lazy,Medium,Alone,No
34,1802,26,Pune,Night,Weekend,Desserts,Lunch,Budget,498,No,44,4,5,Yes,Happy,Medium,Family,Yes
35,1155,33,Hyderabad,Night,Weekend,Chinese,Lunch,Mid-range,871,Yes,89,8,2,Yes,Stressed,Medium,Friends,Yes
36,1090,34,Pune,Afternoon,Weekday,Desserts,Dinner,Mid-range,557,No,42,3,5,Yes,Celebrating,Low,Alone,No
37,1560,38,Hyderabad,Afternoon,Weekday,Desserts,Breakfast,Mid-range,338,No,88,11,5,Yes,Celebrating,Low,Partner,Yes
38,1101,18,Pune,Afternoon,Weekday,South Indian,Lunch,Premium,450,Yes,86,9,4,No,Stressed,High,Partner,Yes
39,2304,42,Delhi,Night,Weekday,Chinese,Snacks,Mid-range,555,No,90,12,5,Yes,Happy,High,Friends,No
40,4202,43,Hyderabad,Afternoon,Weekend,Fast Food,Breakfast,Premium,861,Yes,75,11,5,No,Happy,Medium,Friends,Yes
41,2500,25,Bangalore,Morning,Weekday,Desserts,Snacks,Budget,311,No,41,8,3,No,Lazy,Medium,Partner,No
42,1354,24,Chandigarh,Morning,Weekday,Desserts,Lunch,Budget,719,No,87,8,5,Yes,Happy,Low,Friends,No
43,2853,35,Delhi,Afternoon,Weekday,South Indian,Dinner,Mid-range,191,No,87,6,4,No,Stressed,High,Partner,No
44,4069,25,Bangalore,Morning,Weekday,Fast Food,Lunch,Premium,268,No,25,11,4,Yes,Lazy,Low,Alone,No
45,4740,25,Delhi,Morning,Weekday,Biryani,Snacks,Premium,799,Yes,63,14,5,Yes,Happy,High,Family,Yes
46,1521,32,Delhi,Night,Weekend,Chinese,Lunch,Budget,167,Yes,50,7,3,No,Lazy,High,Family,Yes
47,1185,37,Delhi,Evening,Weekday,Fast Food,Snacks,Budget,813,No,30,4,4,Yes,Lazy,Medium,Alone,No
48,2174,19,Mumbai,Night,Weekend,Desserts,Dinner,Premium,805,No,42,13,5,No,Happy,Medium,Friends,No
49,3225,22,Hyderabad,Afternoon,Weekday,Chinese,Snacks,Budget,259,Yes,83,9,5,No,Celebrating,Medium,Friends,No
50,1698,38,Hyderabad,Evening,Weekend,Desserts,Lunch,Premium,420,Yes,60,6,5,Yes,Celebrating,Medium,Alone,Yes
51,3063,20,Mumbai,Evening,Weekend,Chinese,Breakfast,Mid-range,109,No,46,14,4,No,Celebrating,Medium,Family,Yes
52,3976,25,Hyderabad,Afternoon,Weekday,Fast Food,Breakfast,Premium,978,Yes,70,6,5,No,Celebrating,Low,Alone,No
53,4526,28,Delhi,Morning,Weekday,North Indian,Snacks,Mid-range,635,No,82,14,3,Yes,Lazy,Low,Friends,No
54,3759,38,Delhi,Evening,Weekend,Desserts,Dinner,Budget,901,No,75,5,5,Yes,Celebrating,Medium,Alone,No
55,2805,23,Chandigarh,Evening,Weekend,South Indian,Lunch,Budget,323,No,34,11,2,Yes,Lazy,High,Partner,Yes
56,1305,44,Bangalore,Evening,Weekday,Biryani,Breakfast,Budget,611,No,85,10,5,Yes,Happy,Medium,Alone,Yes
57,4705,37,Delhi,Afternoon,Weekend,Chinese,Lunch,Mid-range,900,Yes,96,10,3,Yes,Stressed,High,Partner,Yes
58,2569,41,Hyderabad,Night,Weekend,Chinese,Lunch,Premium,417,Yes,48,3,5,Yes,Stressed,High,Friends,No
59,3282,43,Pune,Evening,Weekend,South Indian,Dinner,Mid-range,392,No,39,14,3,Yes,Lazy,High,Partner,No
60,4920,31,Pune,Night,Weekday,South Indian,Snacks,Premium,526,Yes,28,6,4,No,Stressed,Low,Partner,Yes
61,1912,27,Chandigarh,Night,Weekday,Fast Food,Dinner,Mid-range,872,Yes,91,11,2,No,Lazy,Low,Friends,Yes
